Tanggal,Jam,PosX,PosY,PersenRusak,GramHilang,Filename
2026-08-16,16:56:45,1600,400,0.0,0.0,scan_20260816_165645_pos_1600_400.jpg
2026-08-16,16:56:45,2000,400,0.0,0.0,scan_20260816_165645_pos_2000_400.jpg
2026-08-16,16:56:45,0,800,0.0,0.0,scan_20260816_165645_pos_0_800.jpg
2026-08-16,16:56:45,400,800,0.0,0.0,scan_20260816_165645_pos_400_800.jpg
2026-08-16,16:56:45,800,800,0.0,0.0,scan_20260816_165645_pos_800_800.jpg
2026-08-16,16:56:45,1200,800,0.0,0.0,scan_20260816_165645_pos_1200_800.jpg
2026-08-16,16:56:45,1600,800,0.0,0.0,scan_20260816_165645_pos_1600_800.jpg
2026-08-16,16:56:45,2000,800,0.0,0.0,scan_20260816_165645_pos_2000_800.jpg
2026-08-16,16:56:45,0,1200,0.0,0.0,scan_20260816_165645_pos_0_1200.jpg
2026-08-16,16:56:45,400,1200,0.0,0.0,scan_20260816_165645_pos_400_1200.jpg
2026-08-16,16:56:45,800,1200,0.0,0.0,scan_20260816_165645_pos_800_1200.jpg
2026-08-16,16:56:45,1200,1200,0.0,0.0,scan_20260816_165645_pos_1200_1200.jpg
2026-08-16,16:56:45,1600,1200,0.0,0.0,scan_20260816_165645_pos_1600_1200.jpg
2026-08-16,16:56:45,2000,1200,0.0,0.0,scan_20260816_165645_pos_2000_1200.jpg
2026-08-16,17:28:21,0,0,0.0,0.0,scan_20260816_172821_pos_0_0.jpg
2026-08-16,17:28:21,400,0,0.0,0.0,scan_20260816_172821_pos_400_0.jpg
2026-08-16,17:28:21,800,0,0.0,0.0,scan_20260816_172821_pos_800_0.jpg
2026-08-16,17:28:21,1200,0,0.0,0.0,scan_20260816_172821_pos_1200_0.jpg
2026-08-16,17:28:21,1600,0,0.0,0.0,scan_20260816_172821_pos_1600_0.jpg
2026-08-16,17:28:21,2000,0,0.0,0.0,scan_20260816_172821_pos_2000_0.jpg
2026-08-16,17:28:21,0,400,0.0,0.0,scan_20260816_172821_pos_0_400.jpg
2026-08-16,17:28:21,400,400,0.0,0.0,scan_20260816_172821_pos_400_400.jpg
2026-08-16,17:28:21,800,400,0.0,0.0,scan_20260816_172821_pos_800_400.jpg
2026-08-16,17:28:21,1200,400,0.0,0.0,scan_20260816_172821_pos_1200_400.jpg
2026-08-16,17:28:21,1600,400,0.0,0.0,scan_20260816_172821_pos_1600_400.jpg
2026-08-16,17:28:21,2000,400,0.0,0.0,scan_20260816_172821_pos_2000_400.jpg
2026-08-16,17:28:21,0,800,0.0,0.0,scan_20260816_172821_pos_0_800.jpg
2026-08-16,17:28:21,400,800,0.0,0.0,scan_20260816_172821_pos_400_800.jpg
2026-08-16,17:28:21,800,800,0.0,0.0,scan_20260816_172821_pos_800_800.jpg
2026-08-16,17:28:21,1200,800,0.0,0.0,scan_20260816_172821_pos_1200_800.jpg
2026-08-16,17:28:21,1600,800,0.0,0.0,scan_20260816_172821_pos_1600_800.jpg
2026-08-16,17:28:21,2000,800,0.0,0.0,scan_20260816_172821_pos_2000_800.jpg
2026-08-16,17:28:21,0,1200,0.0,0.0,scan_20260816_172821_pos_0_1200.jpg
2026-08-16,17:28:21,400,1200,0.0,0.0,scan_20260816_172821_pos_400_1200.jpg
2026-08-16,17:28:21,800,1200,0.0,0.0,scan_20260816_172821_pos_800_1200.jpg
2026-08-16,17:28:21,1200,1200,0.0,0.0,scan_20260816_172821_pos_1200_1200.jpg
2026-08-16,17:28:21,1600,1200,0.0,0.0,scan_20260816_172821_pos_1600_1200.jpg
2026-08-16,17:28:21,2000,1200,0.0,0.0,scan_20260816_172821_pos_2000_1200.jpg
2026-08-16,17:33:40,0,0,0.0,0.0,scan_20260816_173340_pos_0_0.jpg
2026-08-16,17:33:40,400,0,0.0,0.0,scan_20260816_173340_pos_400_0.jpg
